epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4784.06,1.14611,0.75014,1.26571,0.93243,0.90438,0.95827,0.60555,1.31131,0.68597,1.32435,0.0008647,0.0008647,0.0008647
43,4897.9,1.12815,0.71992,1.25351,0.92753,0.91825,0.96045,0.62308,1.2571,0.69058,1.29042,0.0008614,0.0008614,0.0008614
44,5011,1.1391,0.73275,1.25826,0.90176,0.91907,0.94843,0.60973,1.28539,0.70431,1.30973,0.0008581,0.0008581,0.0008581
45,5123.99,1.1446,0.73007,1.25977,0.92465,0.90766,0.95217,0.60082,1.28303,0.69597,1.30928,0.0008548,0.0008548,0.0008548
46,5236.9,1.14802,0.72889,1.25562,0.93164,0.90671,0.95858,0.61354,1.26537,0.70391,1.29589,0.0008515,0.0008515,0.0008515
47,5350.42,1.13593,0.73828,1.2591,0.92738,0.92667,0.95941,0.62074,1.25786,0.6833,1.29808,0.0008482,0.0008482,0.0008482
48,5463.7,1.14502,0.73796,1.26276,0.94687,0.91428,0.96034,0.60717,1.28678,0.6748,1.3043,0.0008449,0.0008449,0.0008449
49,5577.1,1.13211,0.71815,1.25339,0.92931,0.91496,0.94753,0.61756,1.24807,0.66475,1.28155,0.0008416,0.0008416,0.0008416
50,5690.35,1.1536,0.71897,1.26369,0.94078,0.92195,0.9603,0.61788,1.25818,0.66035,1.28381,0.0008383,0.0008383,0.0008383
51,5803.98,1.11992,0.70278,1.25703,0.92258,0.93094,0.95612,0.61656,1.25855,0.68084,1.28768,0.000835,0.000835,0.000835
52,5917.22,1.11125,0.69994,1.24146,0.94803,0.92711,0.96027,0.61666,1.26879,0.65477,1.29326,0.0008317,0.0008317,0.0008317
53,6030.36,1.10814,0.70026,1.22985,0.90102,0.90375,0.95053,0.60928,1.22805,0.70811,1.27261,0.0008284,0.0008284,0.0008284
